Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C,C1 C4 C5 C8 C9 C11 C18 C19 C21 C23,0.1u,C_0805_HandSoldering,10,
2,Unpolarized capacitor,C,C6 C7 C14 C15 C16 C20 C25,1n,C_0805_HandSoldering,7,
3,Unpolarized capacitor,C,C2 C13,1u,C_0805_HandSoldering,2,
4,Unpolarized capacitor,C,C3 C17,56p,C_0805_HandSoldering,2,
5,Unpolarized capacitor,C,C12 C24,68p,C_0805_HandSoldering,2,
6,Unpolarized capacitor,C,C10 C22,82p,C_0805_HandSoldering,2,
7,Inductor,L,L1 L4,15n,L_0805_HandSoldering,2,
8,Inductor,L,L3 L6,5.6n,L_0805_HandSoldering,2,
9,Inductor,L,L2 L5,82n,L_0805_HandSoldering,2,
10,Resistor,R,R17,1.62k,R_0805_HandSoldering,1,
11,Resistor,R,R9,102k,R_0805_HandSoldering,1,
12,Resistor,R,R5,10k,R_0805_HandSoldering,1,
13,Resistor,R,R11,12.1k,R_0805_HandSoldering,1,
14,Resistor,R,R13,17.4k,R_0805_HandSoldering,1,
15,Resistor,R,R3 R10 R16 R19,1k,R_0805_HandSoldering,4,
16,Resistor,R,R18,20k,R_0805_HandSoldering,1,
17,variable Resistor (Rheostat),R_Variable,R7,20k,Potentiometer_Trimmer_Bourns_3296W,1,
18,Resistor,R,R2 R6,220,R_0805_HandSoldering,2,
19,Resistor,R,R14,28k,R_0805_HandSoldering,1,
20,variable Resistor (Rheostat),R_Variable,R1,2K,Potentiometer_Trimmer_Bourns_3296W,1,
21,Resistor,R,R4,3.6k,R_0805_HandSoldering,1,
22,Resistor,R,R15,4.12k,R_0805_HandSoldering,1,
23,Resistor,R,R12,7.15k,R_0805_HandSoldering,1,
24,Resistor,R,R8,8.45k,R_0805_HandSoldering,1,
25,,GAT-7+,U9,GAT-7+,GAT-7+,1,
26,,LM317,U1,LM317,LM317,1,
27,,LT1009,U12,LT1009,LT1009,1,
28,,PGA-103+,U6,PGA-103+,PGA-103+,1,
29,,PMA4-33GLN+,U5 U14,PMA4-33GLN+,PMA4-33GLN+,2,
30,,ROS-2536C-119+,U4,ROS-2536C-119+,ROS-2536C-119+,1,
31,,SIM-43LH+,U8,SIM-43LH+,SIM-43LH+,1,
32,,SMA,U11,SMA,SMA_Vertical,1,
33,,SMA,U3,SMA,SMA,1,
34,,SP-2U1+,U10,SP-2U1+,SP-2U1+,1,
35,,TCBT-14+,U7,TCBT-14+,TCBT-14+,1,
36,,TL974,U13,TL974,TL974,1,
37,,Teensy3.2,U2,Teensy3.2,Teensy3.2,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Component Groups:,37,,,,,,
Component Count:,64,,,,,,
Fitted Components:,64,,,,,,
Number of PCBs:,1,,,,,,
Total components:,64,,,,,,
Schematic Version:,,,,,,,
Schematic Date:,,,,,,,
BoM Date:,2/11/2018 18:59,,,,,,
Schematic Source:,C:/Users/Wesley/Desktop/EEC 134/Q2/Q2.sch,,,,,,
KiCad Version:,Eeschema 4.0.7,,,,,,
